BookID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B
0689871872,0.3936015,30.900887522626974,7.208404,55245,0.025003076923076923,35,42,68,117,91,75
0802774067,0.63139015,90.69953559560118,7.118225,123764,0.014360189573459716,188,236,193,208,240,166
1442496797,0.52514046,122.0373352430144,6.843093,56732,0.018624657534246577,4,185,197,3,90,108
0375824308,0.5083627,62.3999713081095,7.407145,95994,0.024493827160493826,180,163,120,41,135,101
0395899257,0.8414092,112.52785467319899,3.9045358,43675,0.00787551867219917,252,252,76,252,252,244
1432993003,0.38745272,26.844075006283546,7.7601557,47033,0.03247058823529412,77,79,91,27,22,21
0152001921,0.589795,64.73602057914812,7.3951635,99807,0.03170792079207921,134,152,217,169,178,231
0310730953,0.46741703,60.50208836341323,7.734455,77720,0.03522693266832918,74,89,154,180,161,136
1467702137,0.43491766,71.06826421965886,7.615005,113505,0.024167064439140813,146,95,52,181,149,48
1550749536,0.39663586,84.22558944666736,6.9625864,104921,0.027971896955503513,173,46,68,83,92,129
1934968625,0.62541646,88.02920675490827,6.597661,68199,0.019610526315789474,254,253,251,28,130,96
0545679532,0.573581,64.0000449584275,7.79864,127208,0.039809768637532134,225,235,243,113,95,70
0761302166,0.7360599,63.91313966354926,6.1370234,78260,0.02305480195333695,251,250,243,237,251,246
0787703907,0.5266135,50.99947221693121,7.504981,110377,0.0570498687664042,86,115,99,121,93,70
1629794260,0.67645884,115.15882185828175,6.6942525,68314,0.02836470588235294,251,249,240,9,88,167
0615923496,0.6657516,70.95158858022445,6.8325396,117655,0.031408,195,162,98,244,240,232
0062430610,0.48275366,93.74654313086216,7.128056,90600,0.026224,165,26,45,216,141,179
0763665215,0.54496086,114.30042469723489,6.3641443,56119,0.014774193548387098,242,202,51,3,105,172
1856976777,0.7293708,59.557008086160124,7.212733,81933,0.01976687116564417,244,242,191,183,162,122
081668457X,0.38312092,54.85860930012787,6.91081,52036,0.018795454545454546,127,66,58,110,66,75
0192781871,0.7007507,58.753049398163995,6.872396,70594,0.016650537634408602,239,233,212,204,152,108
1580376320,0.49211645,51.28051608282141,7.382636,67266,0.024358056265984654,112,85,62,237,222,172
1416941215,0.6826638,100.51381557680808,7.1752586,94774,0.02264168618266979,245,234,206,154,74,18
1930900708,0.6671516,71.46206866822783,6.60719,60353,0.033531172069825435,245,161,191,225,130,152
1892951452,0.6579648,37.953819245091246,6.6434684,53264,0.03154756871035941,251,250,250,230,230,235
0974690112,0.71603346,51.56277208835621,6.334278,38105,0.015226666666666666,115,166,207,212,230,245
158925628X,0.5149151,94.65325782366213,7.4917684,124127,0.016214574898785424,228,141,66,21,113,162
1448899710,0.6840905,65.3622705152368,7.439944,86588,0.019136752136752137,241,228,206,197,159,131
1484731301,0.50082695,89.12263745762098,7.579226,106649,0.031861861861861865,166,26,49,248,242,229
0736879005,0.49269497,60.712443069075555,7.8608704,103156,0.04252442159383033,240,228,215,76,19,9
1429633808,0.5307411,85.22648646202313,7.7391844,125229,0.03626277372262774,160,80,36,238,223,198
0064440737,0.705346,89.36178804467232,7.259133,66526,0.023921921921921923,238,219,94,252,245,219
1595722718,0.46049032,138.74362777267268,2.9814992,21652,0.00336,238,55,43,254,254,254
0888996667,0.5843398,57.90544697840482,7.3098617,98834,0.022322188449848023,197,157,113,134,95,69
0060002204,0.20769122,44.40094980558479,6.3781824,62716,0.02885207100591716,12,9,4,7,14,29
0131891839,0.38545212,78.24612117268417,7.651404,136287,0.052110817941952506,144,79,46,11,50,27
0736849688,0.37704194,46.05841866437872,7.437875,81521,0.03975,46,39,22,70,78,101
0689713436,0.5744642,85.06731467230006,6.84012,101741,0.03563636363636364,252,248,244,126,75,50
0374301301,0.60199195,77.54272600689247,7.7371573,112604,0.048246246246246245,243,231,172,129,87,66
0316044849,0.5266219,57.622835667992845,7.7571397,97758,0.03142011834319527,114,97,67,174,165,131
0316406899,0.43329048,73.83768786971709,7.5677333,125420,0.04220930232558139,28,87,149,239,208,108
1587170000,0.4820363,55.59865260165502,7.5522275,84922,0.03528191489361702,132,78,52,230,222,179
1846866642,0.53555566,119.61470540126231,7.160937,114162,0.027578288100208768,78,187,232,235,151,45
1477817239,0.3796663,48.264138700252325,7.5572157,87129,0.02413627254509018,20,25,62,146,155,182
0694016381,0.5911732,112.27805274257933,6.110309,88788,0.01475268817204301,254,254,253,13,106,172
0823414299,0.854306,63.43518276958646,5.9591026,48075,0.014322334333242433,242,248,244,243,246,224
1882658361,0.7037503,61.29261770922059,7.240442,104149,0.038928,246,239,221,124,88,64
0152019820,0.6239766,39.2227777838975,6.8333793,85130,0.029982182628062362,184,213,246,120,101,78
015204700X,0.5156654,26.004540381526496,7.5819345,54482,0.04037662337662338,103,88,83,208,217,230
