iter	Passed	Remaining
403	10204	15053
404	10220	15015
405	10240	14982
406	10253	14939
407	10271	14904
408	10286	14864
409	10301	14824
410	10318	14787
411	10336	14751
412	10356	14720
413	10390	14707
414	10420	14689
415	10448	14667
416	10477	14648
417	10506	14628
418	10549	14628
419	10592	14628
420	10632	14623
421	10647	14584
422	10659	14540
423	10678	14506
424	10689	14462
425	10705	14424
426	10720	14385
427	10735	14347
428	10749	14307
429	10762	14266
430	10780	14232
431	10798	14198
432	10813	14159
433	10825	14117
434	10837	14075
435	10848	14033
436	10866	13999
437	10877	13957
438	10896	13924
439	10912	13888
440	10927	13850
441	10944	13816
442	10954	13774
443	10969	13736
444	10988	13704
445	11004	13669
446	11019	13632
447	11033	13594
448	11047	13556
449	11059	13516
450	11108	13522
451	11129	13493
452	11147	13460
453	11161	13423
454	11170	13379
455	11184	13343
456	11203	13312
457	11221	13279
458	11248	13258
459	11258	13215
460	11272	13179
461	11287	13144
462	11302	13109
463	11311	13066
464	11324	13028
465	11342	12997
466	11370	12977
467	11395	12954
468	11419	12929
469	11442	12903
470	11467	12880
471	11496	12860
472	11529	12846
473	11568	12837
474	11604	12826
475	11635	12808
476	11649	12772
477	11668	12742
478	11686	12710
479	11705	12680
480	11725	12651
481	11744	12621
482	11756	12583
483	11772	12550
484	11785	12514
485	11803	12483
486	11816	12447
487	11832	12414
488	11845	12378
489	11860	12344
490	11873	12308
491	11889	12275
492	11909	12247
493	11927	12217
494	11944	12185
495	11964	12157
496	11991	12135
497	12011	12107
498	12030	12078
499	12041	12041
500	12060	12012
501	12080	11983
502	12169	12024
503	12213	12019
504	12226	11984
505	12254	11963
506	12274	11935
507	12290	11903
508	12307	11872
509	12324	11841
510	12340	11809
511	12359	11780
512	12376	11749
513	12397	11722
514	12426	11702
515	12452	11679
516	12477	11656
517	12504	11635
518	12535	11617
519	12570	11603
520	12598	11583
521	12643	11577
522	12675	11560
523	12706	11542
524	12737	11524
525	12769	11506
526	12785	11475
527	12800	11442
528	12821	11415
529	12839	11385
530	12860	11358
531	12876	11327
532	12895	11298
533	12914	11270
534	12935	11242
535	12955	11215
536	12969	11182
537	12983	11149
538	12999	11118
539	13019	11090
540	13029	11054
541	13044	11022
542	13063	10994
543	13081	10965
544	13101	10938
545	13121	10910
546	13136	10879
547	13152	10848
548	13172	10820
549	13240	10832
550	13272	10815
551	13298	10792
552	13315	10763
553	13331	10732
554	13350	10704
555	13366	10674
556	13387	10647
557	13407	10619
558	13425	10591
559	13445	10564
560	13465	10536
561	13490	10513
562	13523	10497
563	13553	10477
564	13584	10459
565	13620	10444
566	13655	10428
567	13691	10413
568	13723	10395
569	13752	10374
570	13778	10351
571	13799	10325
572	13816	10296
573	13832	10266
574	13849	10236
575	13864	10205
576	13881	10176
577	13900	10149
578	13920	10122
579	13937	10092
580	13953	10063
581	13970	10034
582	13990	10006
583	14006	9977
584	14025	9949
585	14042	9920
586	14061	9893
587	14078	9864
588	14096	9836
589	14109	9804
590	14128	9777
591	14144	9748
592	14163	9720
593	14181	9693
594	14198	9664
595	14263	9668
596	14296	9650
597	14316	9623
598	14334	9596
599	14354	9569
600	14372	9541
601	14391	9514
602	14410	9487
603	14430	9461
604	14450	9434
605	14471	9408
606	14490	9381
607	14506	9352
608	14521	9323
609	14542	9297
610	14574	9278
611	14608	9261
612	14631	9237
613	14647	9208
614	14665	9181
615	14695	9160
616	14729	9143
617	14758	9122
618	14787	9101
619	14809	9077
620	14832	9052
621	14854	9027
622	14874	9001
623	14891	8973
624	14913	8947
625	14930	8920
626	14948	8892
627	14968	8866
628	14986	8839
629	15023	8823
630	15064	8809
631	15102	8793
632	15143	8780
633	15172	8759
634	15201	8737
635	15225	8714
636	15242	8686
637	15323	8694
638	15354	8674
639	15374	8647
640	15396	8623
641	15417	8597
642	15437	8571
643	15462	8547
644	15499	8530
645	15536	8513
646	15578	8499
647	15619	8484
648	15663	8471
649	15683	8445
650	15705	8419
651	15734	8398
652	15764	8376
653	15794	8356
654	15822	8334
655	15848	8310
656	15868	8284
657	15892	8260
658	15915	8235
659	15935	8209
660	15956	8183
661	15991	8164
662	16032	8149
663	16067	8130
664	16106	8113
665	16136	8092
666	16164	8069
667	16196	8049
668	16223	8026
669	16243	8000
670	16277	7981
671	16363	7987
672	16388	7962
673	16408	7936
674	16427	7909
675	16446	7882
676	16466	7856
677	16487	7830
678	16507	7803
679	16531	7779
680	16572	7762
681	16609	7744
682	16650	7727
683	16677	7704
684	16712	7685
685	16737	7661
686	16759	7635
687	16790	7614
688	16825	7594
689	16857	7573
690	16889	7552
691	16921	7531
692	16947	7507
693	16968	7481
694	16997	7459
695	17043	7444
696	17086	7427
697	17121	7407
698	17163	7390
699	17191	7367
700	17213	7341
701	17231	7314
702	17249	7287
703	17284	7267
704	17320	7247
705	17407	7248
706	17458	7235
707	17500	7217
708	17549	7202
709	17598	7188
710	17637	7168
711	17659	7143
712	17691	7121
713	17717	7097
714	17737	7070
715	17756	7042
716	17777	7016
717	17800	6991
718	17820	6964
719	17852	6942
720	17884	6920
721	17917	6899
722	17950	6877
723	17974	6852
724	17997	6826
725	18015	6799
726	18033	6771
727	18051	6744
728	18069	6717
729	18089	6690
730	18107	6663
731	18125	6636
732	18144	6609
733	18162	6582
734	18184	6556
735	18204	6529
736	18231	6506
737	18256	6481
738	18289	6459
739	18318	6436
740	18345	6412
741	18373	6388
742	18462	6385
743	18488	6361
744	18506	6334
745	18524	6307
746	18543	6280
747	18561	6253
748	18583	6227
749	18603	6201
750	18622	6174
751	18640	6147
752	18659	6120
753	18682	6095
754	18702	6068
755	18722	6042
756	18742	6016
757	18760	5989
758	18783	5964
759	18802	5937
760	18822	5911
761	18840	5884
762	18859	5857
763	18883	5833
764	18920	5812
765	18951	5789
766	18983	5766
767	19013	5743
768	19031	5716
769	19051	5690
770	19072	5664
771	19092	5638
772	19111	5612
773	19130	5585
774	19149	5559
775	19170	5533
776	19190	5507
777	19209	5481
778	19227	5454
779	19244	5427
780	19263	5401
781	19292	5378
782	19312	5352
783	19331	5325
784	19349	5299
785	19370	5273
786	19389	5247
787	19411	5222
788	19431	5196
789	19560	5199
790	19594	5177
791	19620	5152
792	19638	5126
793	19659	5100
794	19678	5074
795	19697	5048
796	19725	5024
797	19742	4997
798	19763	4971
799	19783	4945
800	19802	4919
801	19823	4894
802	19842	4867
803	19862	4842
804	19880	4815
805	19900	4789
806	19920	4764
807	19948	4740
808	19968	4714
809	19990	4689
810	20012	4663
811	20045	4641
812	20082	4619
813	20115	4596
814	20148	4573
815	20177	4549
816	20197	4524
817	20217	4498
818	20236	4472
819	20256	4446
820	20276	4420
821	20295	4394
822	20314	4368
823	20333	4343
824	20354	4317
825	20382	4293
826	20403	4268
827	20422	4242
828	20441	4216
829	20461	4190
830	20480	4165
831	20499	4139
832	20518	4113
833	20535	4087
834	20617	4074
835	20646	4050
836	20673	4026
837	20691	3999
838	20711	3974
839	20728	3948
840	20748	3922
841	20767	3897
842	20787	3871
843	20819	3848
844	20851	3824
845	20889	3802
846	20913	3777
847	20935	3752
848	20958	3727
849	20977	3701
850	20996	3676
851	21023	3651
852	21055	3628
853	21088	3605
854	21121	3581
855	21157	3559
856	21178	3533
857	21197	3508
858	21217	3482
859	21242	3458
860	21265	3433
861	21284	3407
862	21304	3381
863	21322	3356
864	21343	3331
865	21362	3305
866	21382	3280
867	21401	3254
868	21420	3229
869	21439	3203
870	21468	3179
871	21488	3154
872	21507	3128
873	21525	3103
874	21547	3078
875	21566	3052
876	21584	3027
877	21625	3004
878	21697	2986
879	21720	2961
880	21739	2936
881	21761	2911
882	21794	2887
883	21824	2863
884	21848	2839
885	21868	2813
886	21891	2788
887	21916	2764
888	21938	2739
889	21956	2713
890	21976	2688
891	21995	2663
892	22013	2637
893	22032	2612
894	22052	2587
895	22075	2562
896	22093	2536
897	22123	2512
898	22155	2489
899	22188	2465
900	22215	2440
901	22238	2416
902	22261	2391
903	22280	2366
904	22299	2340
905	22318	2315
906	22351	2291
907	22386	2268
908	22418	2244
909	22451	2220
910	22486	2196
911	22508	2171
912	22527	2146
913	22547	2121
914	22566	2096
915	22585	2071
916	22604	2046
917	22623	2020
918	22643	1995
919	22711	1974
920	22750	1951
921	22773	1926
922	22792	1901
923	22810	1876
924	22843	1852
925	22876	1828
926	22905	1803
927	22930	1779
928	22949	1753
929	22969	1728
930	22988	1703
931	23009	1678
932	23028	1653
933	23046	1628
934	23065	1603
935	23083	1578
936	23102	1553
937	23120	1528
938	23141	1503
939	23166	1478
940	23199	1454
941	23229	1430
942	23263	1406
943	23299	1382
944	23330	1357
945	23378	1334
946	23425	1311
947	23470	1287
948	23506	1263
949	23539	1238
950	23574	1214
951	23602	1190
952	23621	1164
953	23648	1140
954	23670	1115
955	23688	1090
956	23708	1065
957	23800	1043
958	23828	1018
959	23870	994
960	23891	969
961	23908	944
962	23928	919
963	23946	894
964	23965	869
965	23983	844
966	24001	819
967	24020	794
968	24041	769
969	24062	744
970	24081	719
971	24112	694
972	24138	669
973	24161	644
974	24185	620
975	24209	595
976	24239	570
977	24273	546
978	24308	521
979	24342	496
980	24387	472
981	24425	447
982	24460	423
983	24500	398
984	24538	373
985	24570	348
986	24604	324
987	24623	299
988	24641	274
989	24658	249
990	24677	224
991	24694	199
992	24715	174
993	24735	149
994	24754	124
995	24860	99
996	24980	75
997	25024	50
998	25064	25
999	25088	0
