iter	MAPE
51	0.9219148039552	0.9204091855353	0.9189086175454	0.9174070325555	0.9159072485656	0.9144163835757	0.9129088658	58	0.911407459	059	0.909898060	060	0.908393161	61	0.9068974262	62	0.9054084263	63	0.9039149964	64	0.9024158665	65	0.9009074666	66	0.8994025367	67	0.8979031768	68	0.896407569	069	0.894904470	70	0.8934082571	71	0.891902372	072	0.890405073	073	0.88891174	0.74	0.88741175	0.75	0.8859076	0.876	0.8844177	0.877	0.8829178	0.878	0.8814179	0.879	0.8799180	0.880	0.8784181	0.881	0.8769182	0.882	0.87583	0.87283	0.8784	0.871384	0.8785	0.869885	0.8786	0.868386	0.8687	0.866887	0.888	0.8652988	0.889	0.8637889	0.90	0.86227290	0.91	0.86075791	0.92	0.85924492	0.93	0.85773293	0.94	0.85622494	0.95	0.85472195	0.96	0.85319896	0.97	0.85168597	0.98	0.85017198	0.99	0.84865499	0.100	0.84714100	0.101	0.84563101	0.102	0.8441102	0.8103	0.8426103	0.8104	0.8410104	0.8105	0.8395105	0.8106	0.838106	0.83107	0.836107	0.8108	0.8350108	0.8109	0.8335109	0.8110	0.8320110	0.8111	0.830111	0.8112	0.8289112	0.8113	0.8274113	0.8114	0.8259114	0.8115	0.8244115	0.8116	0.8229116	0.8117	0.8214117	0.8118	0.8199118	0.8119	0.8183119	0.120	0.8168120	0.8121	0.8153121	0.8122	0.8138122	0.8123	0.8123123	0.8124	0.8108124	0.8125	0.8093125	0.8126	0.8078126	0.8127	0.8062127	0.8128	0.8047128	0.8129	0.8032129	0.8130	0.8017130	0.8131	0.8002131	0.8132	0.7987132	0.8133	0.7972133	0.7134	0.7956134	0.7135	0.7941135	0.7136	0.7926136	0.7137	0.7911137	0.138	0.78963138	0.139	0.78812139	0.140	0.78660140	0.141	0.78509141	0.142	0.78356142	0.143	0.78205143	0.144	0.78054144	0.145	0.77904145	0.146	0.77756146	0.147	0.77615147	0148	0.774781148	0149	0.773414149	0150	0.772042150	0151	0.770683151	0152	0.769320152	0153	0.767951153	0154	0.766595154	0155	0.765232155	0156	0.763865156	0157	0.762157	0.76158	0.761158	0.76159	0.759159	0.76160	0.758160	0.76161	0.757161	0.75162	0.755162	0.75163	0.75163	0.755164	0.164	0.75448165	0.165	0.75310166	0.166	0.75173167	0167	0.750350168	0168	0.748974169	0169	0.747592170	0170	0.746215171	0171	0.744838172	0172	0.743460173	0173	0.742086174	0174	0.740712175	0175	0.739332176	0176	0.737952177	0177	0.7365178	0.178	0.73520179	0.179	0.73381180	0.180	0.73242181	0.181	0.73104182	0.182	0.72966183	0.183	0.72828184	0.184	0.72689185	0185	0.725511186	0186	0.724132187	0187	0.722754188	0188	0.721382189	0189	0.719987190	0190	0.718616191	0191	0.717232192	0192	0.71585193	0.193	0.71448194	0.194	0.71310195	0.195	0.71171196	0.196	0.71033197	0.197	0.70895198	0198	0.707573199	0199	0.70619200	0.200	0.7048201	0.7201	0.7034202	0.7202	0.7020203	0.6203	0.7006204	0.6204	0.699205	0.205	0.69795206	0.206	0.6965207	0.6207	0.6951208	0.6208	0.6938209	0.6209	0.6924210	0.6210	0.6910211	0.6211	0.6896212	0.6212	0.6883213	0.6213	0.6869214	0.6214	0.6855215	0.6215	0.6841216	0.6216	0.6828217	0.6217	0.6814218	0.6218	0.68219	0.678219	0.67220	0.676220	0.67221	0.675221	0.67222	0.673222	0.67223	0.672223	0.67224	0.671224	0.67225	0.669225	0.67226	0.668226	0.66227	0.667227	0.66228	0.665228	0.66229	0.664229	0.66230	0.663230	0.66231	0.661231	0.66232	0.660232	0.66233	0.65233	0.659234	0.65234	0.658235	0.65235	0.656236	0.65236	0.655237	0.65237	0.65238	0.652238	0.65239	0.650239	0.65240	0.649240	0.64241	0.648241	0.64242	0.64242	0.647243	0.64243	0.64244	0.644244	0.64245	0.642245	0.64246	0.64246	0.641247	0.64247	0.640248	0.63248	0.63249	0.637249	0.63250	0.635250	0.63251	0.634251	0.63252	0.633252	0.63253	0.631253	0.63254	0.63254	0.630255	0.62255	0.629256	0.62256	0.62257	0.626257	0.258	0.62514258	0.259	0.62378259	0.260	0.6224260	0.6261	0.6210261	0.6262	0.6197262	0.6263	0.6183263	0.6264	0.6170264	0.6265	0.6156265	0.6266	0.6142266	0.6267	0.6129267	0.6268	0.6115268	0.6269	0.6102269	0.6270	0.6088270	0.6271	0.6075271	0.6272	0.6061272	0.6273	0.6048273	0.274	0.60348274	0.275	0.60212275	0.276	0.60077276	0.277	0.59941277	0.278	0.5980278	0.5279	0.5966279	0.5280	0.5953280	0.5281	0.5939281	0.5282	0.5926282	0.5283	0.5912283	0.5284	0.589284	0.58285	0.588285	0.58286	0.58286	0.586287	0.58287	0.585288	0.58288	0.584289	0.58289	0.582290	0.58290	0.581291	0.58291	0.579292	0.57292	0.578293	0.57293	0.577294	0.57294	0.575295	0.57295	0.574296	0.57296	0.573297	0.57297	0.571298	0.57298	0.570299	0.56299	0.568300	0.56300	0.567301	0.56301	0.566302	0.56302	0.564303	0.56303	0.563304	0.56304	0.562305	0.56305	0.56306	0.560306	0.55307	0.558307	0.55308	0.557308	0.55309	0.556309	0.55310	0.55310	0.55311	0.553311	0.5312	0.5521312	0.5313	0.5508313	0.5314	0.5495314	0.5315	0.5482315	0.5316	0.5469316	0.5317	0.5455317	0.5318	0.5442318	0.5319	0.5429319	0.5320	0.5416320	0.5321	0.540321	0.53322	0.539322	0.53323	0.537323	0.53324	0.536324	0.53325	0.53325	0.533326	0.53326	0.532327	0.53327	0.531328	0.328	0.52995329	0.329	0.52861330	0.330	0.52727331	0.331	0.5259332	0.5332	0.5246333	0.333	0.52325334	0.334	0.52192335	0.335	0.52058336	0.336	0.5192337	0.5337	0.5179338	0.5338	0.5165339	0.5339	0.5152340	0.5340	0.5138341	0.5341	0.5125342	0.5342	0.5112343	0.5343	0.5098344	0.5344	0.5085345	0.5345	0.5072346	0.346	0.50586347	0.347	0.50453348	0.348	0.50319349	0.349	0.50185350	0.350	0.50051351	0.351	0.49917352	0.352	0.49783353	0.353	0.49650354	0.354	0.4951355	0.4355	0.4938356	0.4356	0.4924357	0.4357	0.4911358	0.358	0.48981359	0.359	0.48848360	0.360	0.48714361	0.361	0.48581362	0.362	0.48447363	0.363	0.48314364	0.364	0.48180365	0.365	0.48047366	0366	0.479137367	0367	0.477801368	0368	0.476465369	0369	0.475128370	370	0.4737979371	371	0.4724609372	372	0.471125373	0373	0.469791374	0374	0.468454375	0375	0.467117376	0376	0.465778377	0377	0.464443378	0378	0.463105379	0379	0.461766380	0380	0.460426381	0381	0.459093382	0382	0.457756383	0383	0.456421384	0384	0.455088385	0385	0.453750386	0386	0.452414387	0387	0.451082388	0388	0.449755389	0389	0.448424390	0390	0.447095391	0391	0.445768392	392	0.4444373393	393	0.4431077394	394	0.4417800395	395	0.4404534396	396	0.4391253397	397	0.4377939398	398	0.4364662399	399	0.4351397400400	0.4338100401	401	0.4324850402	402	0.4311599403	403	0.4298319404	404	0.4285067405	405	0.4271763406	406	0.4258445407	407	0.4245173408	408	0.4231900409	409	0.4218627410	410	0.4205364411	411	0.419212412	412	0.4178866413	413	0.4165628414	414	0.4152371415	415	0.4139181416	416	0.4125984417	417	0.4112788418	418	0.4099591419	419	0.4086369420	420	0.4073214421	421	0.4060058422	422	0.4046910423	423	0.4033795424	424	0.4020659425	425	0.4007544426	426	0.3994412427	427	0.3981274428	428	0.3968144429	429	0.3955007430	430	0.3941914431	431	0.3928748432	432	0.3915634433	433	0.3902504434	434	0.3889333435	435	0.3876216436	436	0.3863105437	437	0.3849970438	438	0.3836915439	439	0.3823807440	440	0.3810681441	441	0.3797569442	442	0.3784397443	443	0.377128444	0444	0.375811445	0445	0.374500446	0446	0.37318447	0.447	0.37187448	0.448	0.37056449	0.449	0.36926450	0450	0.367950451	0451	0.366636452	0452	0.365329453	0453	0.364020454	0454	0.362711455	0455	0.361402456	0456	0.360091457	0457	0.358780458	0458	0.357468459	459	0.3561582460	460	0.3548474461	461	0.3535325462462	0.35222927463463	0.3509398046464	0.34966237046465	0.34839414646466	0.3471367664467	0.34588853434468	0.34464824824469	0.34341324864470	0.34218012184471	0.340946349
472	0.3397104874
473	0.3384822284
474	0.3372559408
475	0.33603091544476	0.33480420184477	0.33358173324478	0.33235500864479	0.33113113364480	0.32990387754481	0.32867880084482	0.32745478984483	0.326236225
484	0.3250140494
485	0.3237866877
486	0.3225638171
487	0.32134352824488	0.32012249234489	0.318902905
490	0.3176840201
