ID,Sales Rank,Date,Review Score,Review Count
0375851372,14419.0,"September 8, 2009",4.89,129
1680780654,1301623.0,"January 1, 2016",0.0,0
1927173116,931399.0,"August 1, 2012",4.89,9
1927485630,332843.0,"March 2, 2015",5.0,4
0307119424,1616.0,2001,4.73,603
0689834462,112878.0,"January 1, 2004",4.55,11
0763680125,7617.0,"August 4, 2015",4.66,155
1429617624,371598.0,"January 1, 2008",5.0,2
0547907257,932961.0,"March 5, 2013",4.79,14
0887276407,39486.0,"August 8, 2008",4.38,338
159359870X,23085.0,"December 1, 2006",4.51,97
0849760194,33364.0,"April 10, 1968",4.92,50
0618260102,420085.0,"August 26, 2002",4.63,28
0375822488,81979.0,"February 24, 2004",4.63,27
0553523996,63596.0,"December 22, 2015",4.91,11
078680890X,390403.0,"October 16, 2012",4.94,17
0439959071,4025198.0,"November 21, 2005",4.2,5
1590789385,1282418.0,"September 1, 2013",5.0,10
1514628244,8566266.0,"June 17, 2015",0.0,0
0439434408,608.0,"June 1, 2003",4.41,924
1554511089,4552062.0,"August 17, 2007",5.0,1
0140368426,250415.0,"January 1, 1994",4.67,9
0762452870,248374.0,"September 24, 2013",4.47,46
0375868674,23610.0,"August 23, 2011",4.66,65
0312518900,47454.0,"January 6, 2015",4.53,153
0385744277,309879.0,"September 8, 2015",4.84,71
0822572869,7384556.0,"December 15, 2007",0.0,0
1771470089,195064.0,"October 15, 2013",5.0,2
1908973668,5360297.0,"September 3, 2015",0.0,0
0531184935,14716633.0,"September 30, 2007",0.0,0
1939509092,68383.0,"February 13, 2014",3.14,7
0816739943,5444292.0,"August 1, 1996",0.0,0
0762401842,3616787.0,"September 1, 1997",5.0,1
0816730261,2706354.0,"September 13, 1997",4.6,5
1499507429,437362.0,"May 9, 2014",4.67,9
0823410935,1670079.0,"March 1, 1995",4.64,8
0763673048,113521.0,"March 24, 2015",4.82,16
1416928154,56413.0,"August 1, 2006",4.53,74
0688145612,897711.0,"April 15, 1997",5.0,2
1612286526,2514686.0,"November 15, 2014",0.0,0
0312643004,43237.0,"October 7, 2014",4.77,309
0375826424,755983.0,"November 11, 2003",4.39,8
1884564313,1205598.0,September 1997,4.88,8
0778742016,1121053.0,"January 30, 2012",4.0,1
1482407280,11412558.0,"August 1, 2014",0.0,0
0448487853,10178.0,"May 10, 2016",4.64,71
1467772070,599278.0,"August 1, 2015",4.67,3
0892968451,1672053.0,"September 21, 2011",4.67,12
0547238738,23878.0,"August 17, 2009",4.66,150
1481422944,150076.0,"November 4, 2014",4.58,14
1882514009,1202845.0,"June 1, 2015",4.83,6
1432936859,1129975.0,"February 1, 2010",5.0,7
0545565324,1118874.0,"October 29, 2013",4.95,21
1594748020,9537.0,"November 17, 2015",4.74,41
1429663359,525108.0,"February 1, 2011",4.19,45
0316308749,179280.0,"April 1, 1995",4.87,23
076364515X,35453.0,"September 8, 2009",4.64,134
0789454157,62039.0,"March 1, 2000",4.45,15
0142407798,183405.0,"July 19, 2007",4.91,11
0316044822,114144.0,"February 1, 2010",4.09,13
054573312X,10730.0,"February 24, 2015",4.98,49
0986444162,18717.0,"April 4, 2015",4.81,200
142630739X,58905.0,"October 12, 2010",4.74,48
0399234551,715979.0,"September 13, 1999",4.72,40
0316166332,1058979.0,"September 6, 2006",4.63,38
0553533703,92818.0,"August 4, 2015",5.0,14
0753462532,44326.0,"September 16, 2008",4.56,55
0152336788,588216.0,"October 21, 1987",4.71,154
0698118898,154261.0,"January 15, 2001",4.97,36
1404813098,891273.0,"January 1, 2006",0.0,0
1597020389,290522.0,"November 27, 2012",4.56,9
0736869298,5192100.0,"January 1, 2006",0.0,0
0375863311,9750.0,"September 28, 2010",4.57,81
0316102970,1310467.0,"May 10, 2011",0.0,0
0547558651,88236.0,"September 3, 2013",4.75,21
B005Q5VAGM,4059832.0,"December 28, 2010",4.01,9
0307980480,28831.0,"August 25, 2015",4.69,136
1426315104,67062.0,"May 13, 2014",4.53,17
0766031020,10252057.0,"March 1, 2009",0.0,0
149236486X,633287.0,"September 8, 2013",3.78,127
0825629977,124187.0,"November 1, 2004",4.19,29
1483812081,46202.0,"August 15, 2014",4.65,29
1484709683,121623.0,"September 15, 2015",4.71,141
0896866882,9866734.0,"November 1, 1992",0.0,0
0195154991,661189.0,"February 14, 2002",4.84,19
1937161374,5319512.0,"February 13, 2013",5.0,5
0689823827,12765.0,"February 1, 1999",4.56,641
0778706974,1656240.0,"October 31, 2003",4.5,2
0766012255,1546117.0,"September 1, 1998",4.25,4
0761178058,21846.0,"June 17, 2014",4.75,151
0531213536,78600.0,"September 1, 2009",5.0,4
1848793499,174506.0,"January 1, 2010",3.0,1
1442467789,10239.0,"April 21, 2015",4.56,100
0816723621,1083614.0,"September 19, 1998",4.8,5
030747920X,176632.0,"July 6, 2010",4.68,159
1492616516,31975.0,"September 8, 2015",4.81,111
0789472570,,"March 15, 2000",0.0,0
0064440044,10363.0,"February 18, 2003",4.7,331
0836893646,908453.0,"July 1, 2008",5.0,1
0486294552,349998.0,"October 11, 1996",4.81,43
0736429212,741279.0,"August 7, 2012",4.7,50
0618755039,37172.0,"April 9, 2007",4.62,54
0147512840,5397.0,"September 4, 2014",4.47,57
0791090523,845747.0,"October 1, 2007",0.0,0
1477810544,753.0,"June 3, 2014",4.62,754
0140506330,94321.0,"September 2, 1986",4.02,97
189747606X,1171960.0,"June 1, 2009",4.61,13
0064400565,5072.0,"February 1, 2005",4.74,1863
082254959X,1164893.0,"August 1, 1999",5.0,2
1596434325,83490.0,"April 13, 2010",4.75,28
1604131012,18272735.0,"August 1, 2009",0.0,0
0763666319,220396.0,"March 11, 2015",4.63,47
